sensor_id, timestamp, count
1754,'2016-07-09 22',5
1754,'2016-07-10 05',19
1754,'2016-07-10 06',18
1754,'2016-07-10 07',25
1754,'2016-07-10 08',14
1754,'2016-07-10 09',22
1754,'2016-07-10 10',21
1754,'2016-07-10 11',20
1754,'2016-07-10 12',10
1754,'2016-07-10 13',17
1754,'2016-07-10 14',30
1754,'2016-07-10 15',208
1754,'2016-07-10 16',418
1754,'2016-07-10 17',226
1754,'2016-07-10 18',187
1754,'2016-07-10 19',136
1754,'2016-07-10 20',58
1754,'2016-07-10 21',35
1754,'2016-07-10 22',2
1754,'2016-07-10 23',2
